id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets
1339735915091079168,Candidato Álvaro Noboa,7,42,4,20,34

1339732558649696263,Candidato Álvaro Noboa,7,43,4,20,34

1339732194995134466,Candidato Álvaro Noboa,10,43,4,15,0

1339731678479216640,Candidato Álvaro Noboa,11,43,4,18,0

1339731207655976965,Candidato Álvaro Noboa,11,44,4,20,34

1339729716945817605,Candidato Álvaro Noboa,11,45,4,20,34

1339729190929788931,Candidato Álvaro Noboa,11,46,4,20,34

1339728600426278912,Candidato Álvaro Noboa,11,47,4,20,34

1339728395593244676,Candidato Álvaro Noboa,11,48,4,20,34

1339728351620116480,Candidato Álvaro Noboa,12,48,4,17,0

1339726963011940353,Candidato Álvaro Noboa,12,49,4,20,34

1339725474818211840,Candidato Álvaro Noboa,12,50,4,20,34

1339725020151619597,Candidato Álvaro Noboa,12,51,4,20,34

1339722490738843648,Candidato Álvaro Noboa,12,52,4,20,34

1339720909729517570,Candidato Álvaro Noboa,12,53,4,20,34

1339720542954381313,Candidato Álvaro Noboa,12,54,4,20,34

1339720152892518402,Candidato Álvaro Noboa,12,55,4,20,34

1339720146005454848,Candidato Álvaro Noboa,12,56,4,20,34

1339719885736296448,Candidato Álvaro Noboa,12,56,4,18,0

1339719711467159555,Candidato Álvaro Noboa,12,57,4,20,34

1339719537458110468,Candidato Álvaro Noboa,12,57,4,18,34

1339385656737460225,Candidato Álvaro Noboa,12,58,4,23,1

1339382558803554306,Candidato Álvaro Noboa,12,58,4,20,1

1339382312044269571,Candidato Álvaro Noboa,12,58,4,20,0

1338975721465802752,Candidato Álvaro Noboa,14,59,4,19,162

1338975045197193217,Candidato Álvaro Noboa,16,60,4,19,162

1338938425119035394,Candidato Álvaro Noboa,16,63,4,15,0

1338846001629704193,Candidato Álvaro Noboa,16,65,4,19,0

1338817477426487301,Candidato Álvaro Noboa,16,67,4,21,1

1338810685476777986,Candidato Álvaro Noboa,16,68,4,23,2

1338809660900597760,Candidato Álvaro Noboa,16,71,4,22,8

1338684813449056264,Candidato Álvaro Noboa,16,74,4,22,8

1338682052942712833,Candidato Álvaro Noboa,16,75,4,19,1

1338666536576425984,Candidato Álvaro Noboa,16,78,4,22,8

1338666454477135875,Candidato Álvaro Noboa,16,79,4,23,2

1338665880780230662,Candidato Álvaro Noboa,16,82,4,22,8

1338664980095381507,Candidato Álvaro Noboa,16,85,4,22,8

1338664742928441346,Candidato Álvaro Noboa,16,88,4,22,8

1338662264707166208,Candidato Álvaro Noboa,16,88,4,22,2

1338661495861895175,Candidato Álvaro Noboa,16,91,4,22,8

1338659707230302208,Candidato Álvaro Noboa,16,94,4,22,8

1338659543929249804,Candidato Álvaro Noboa,16,96,4,20,8

1338581886822707201,Candidato Álvaro Noboa,18,97,4,19,162

1338580849353240578,Candidato Álvaro Noboa,20,98,4,19,162

1338269409467658242,Candidato Álvaro Noboa,22,99,4,19,162

1338162914243514370,Candidato Álvaro Noboa,24,100,4,22,3

1338158288702201856,Candidato Álvaro Noboa,24,102,4,20,2

1338144288836898816,Candidato Álvaro Noboa,26,103,4,22,3

1338143351275745280,Candidato Álvaro Noboa,28,103,4,20,3

1340456511362002944,Candidato Lucio Gutiérrez,0,0,4,9,0

1340418302192050181,Candidato Lucio Gutiérrez,0,1,4,23,5

1340418297494384640,Candidato Lucio Gutiérrez,0,1,4,15,0

1340365196615966721,Candidato Lucio Gutiérrez,0,2,4,23,5

1340363784515411969,Candidato Lucio Gutiérrez,0,3,4,23,5

1340362098325549067,Candidato Lucio Gutiérrez,0,4,4,23,5

1340356554424528902,Candidato Lucio Gutiérrez,0,4,4,20,5

1340260794609659904,Candidato Lucio Gutiérrez,0,12,4,13,1

1340160207209545739,Candidato Lucio Gutiérrez,0,14,4,16,4

1340156683788689409,Candidato Lucio Gutiérrez,0,15,4,20,20

1340151647713017856,Candidato Lucio Gutiérrez,0,16,4,20,20

1340142108619931648,Candidato Lucio Gutiérrez,0,17,4,20,20

1340130138906898432,Candidato Lucio Gutiérrez,0,18,4,20,20

1340126731068387333,Candidato Lucio Gutiérrez,0,19,4,20,20

